20201016	08-30	06:35:  	12:11:10	17:46:  	05:26:  	11:41:  	17:46:  	06:09:  	18:13:  	05:38:  	18:44:  	05:07:  	19:14:  
20201017	09-01	06:36:  	12:10:58	17:45:  	06:41:  	12:35:  	18:19:  	06:10:  	18:12:  	05:39:  	18:42:  	05:08:  	19:13:  
20201018	09-02	06:37:  	12:10:46	17:44:  	07:58:  	13:30:  	18:54:  	06:11:  	18:10:  	05:40:  	18:41:  	05:09:  	19:12:  
20201019	09-03	06:38:  	12:10:35	17:42:  	09:14:  	14:28:  	19:35:  	06:12:  	18:09:  	05:41:  	18:40:  	05:10:  	19:10:  
20201020	09-04	06:39:  	12:10:24	17:41:  	10:28:  	15:27:  	20:21:  	06:13:  	18:08:  	05:42:  	18:38:  	05:11:  	19:09:  
20201021	09-05	06:40:  	12:10:15	17:40:  	11:38:  	16:27:  	21:13:  	06:13:  	18:06:  	05:43:  	18:37:  	05:12:  	19:08:  
20201022	09-06	06:41:  	12:10:05	17:38:  	12:40:  	17:25:  	22:11:  	06:14:  	18:05:  	05:44:  	18:36:  	05:13:  	19:07:  
20201023	09-07	06:42:  	12:09:57	17:37:  	13:33:  	18:21:  	23:13:  	06:15:  	18:04:  	05:45:  	18:35:  	05:14:  	19:05:  
20201024	09-08	06:43:  	12:09:49	17:36:  	14:17:  	19:14:  	--:--:  	06:16:  	18:03:  	05:46:  	18:34:  	05:15:  	19:04:  
20201025	09-09	06:44:  	12:09:42	17:35:  	14:54:  	20:03:  	00:15:  	06:17:  	18:02:  	05:46:  	18:32:  	05:16:  	19:03:  
20201026	09-10	06:45:  	12:09:36	17:33:  	15:26:  	20:48:  	01:17:  	06:18:  	18:00:  	05:47:  	18:31:  	05:17:  	19:02:  
20201027	09-11	06:46:  	12:09:30	17:32:  	15:54:  	21:31:  	02:18:  	06:19:  	17:59:  	05:48:  	18:30:  	05:18:  	19:01:  
20201028	09-12	06:47:  	12:09:25	17:31:  	16:19:  	22:12:  	03:17:  	06:20:  	17:58:  	05:49:  	18:29:  	05:19:  	19:00:  
20201029	09-13	06:48:  	12:09:21	17:30:  	16:43:  	22:53:  	04:14:  	06:21:  	17:57:  	05:50:  	18:28:  	05:20:  	18:59:  
20201030	09-14	06:50:  	12:09:17	17:29:  	17:07:  	23:33:  	05:11:  	06:22:  	17:56:  	05:51:  	18:27:  	05:20:  	18:58:  
20201031	09-15	06:51:  	12:09:14	17:27:  	17:32:  	--:--:  	06:08:  	06:23:  	17:55:  	05:52:  	18:26:  	05:21:  	18:57:  
20201101	09-16	06:52:  	12:09:13	17:26:  	17:59:  	00:14:  	07:06:  	06:24:  	17:54:  	05:53:  	18:25:  	05:22:  	18:56:  
20201102	09-17	06:53:  	12:09:11	17:25:  	18:29:  	00:57:  	08:04:  	06:25:  	17:53:  	05:54:  	18:24:  	05:23:  	18:55:  
20201103	09-18	06:54:  	12:09:11	17:24:  	19:04:  	01:42:  	09:03:  	06:26:  	17:52:  	05:55:  	18:23:  	05:24:  	18:54:  
20201104	09-19	06:55:  	12:09:12	17:23:  	19:44:  	02:30:  	10:02:  	06:27:  	17:51:  	05:56:  	18:22:  	05:25:  	18:53:  
20201105	09-20	06:56:  	12:09:13	17:22:  	20:32:  	03:20:  	11:00:  	06:28:  	17:50:  	05:57:  	18:21:  	05:26:  	18:52:  
20201106	09-21	06:57:  	12:09:15	17:21:  	21:26:  	04:12:  	11:53:  	06:29:  	17:49:  	05:58:  	18:20:  	05:27:  	18:51:  
20201107	09-22	06:58:  	12:09:18	17:20:  	22:26:  	05:06:  	12:42:  	06:30:  	17:48:  	05:59:  	18:19:  	05:28:  	18:50:  
20201108	09-23	06:59:  	12:09:22	17:19:  	23:31:  	05:59:  	13:25:  	06:31:  	17:47:  	06:00:  	18:18:  	05:29:  	18:49:  
20201109	09-24	07:00:  	12:09:27	17:18:  	--:--:  	06:52:  	14:04:  	06:32:  	17:46:  	06:01:  	18:18:  	05:30:  	18:49:  
20201110	09-25	07:01:  	12:09:33	17:17:  	00:39:  	07:44:  	14:38:  	06:33:  	17:45:  	06:02:  	18:17:  	05:31:  	18:48:  
20201111	09-26	07:02:  	12:09:39	17:17:  	01:49:  	08:35:  	15:10:  	06:34:  	17:44:  	06:03:  	18:16:  	05:32:  	18:47:  
20201112	09-27	07:03:  	12:09:47	17:16:  	03:00:  	09:26:  	15:41:  	06:35:  	17:44:  	06:04:  	18:15:  	05:33:  	18:47:  
20201113	09-28	07:05:  	12:09:55	17:15:  	04:13:  	10:18:  	16:13:  	06:36:  	17:43:  	06:05:  	18:15:  	05:34:  	18:46:  
20201114	09-29	07:06:  	12:10:04	17:14:  	05:28:  	11:12:  	16:46:  	06:38:  	17:42:  	06:06:  	18:14:  	05:34:  	18:45:  
20201115	10-01	07:07:  	12:10:14	17:13:  	06:44:  	12:08:  	17:24:  	06:39:  	17:42:  	06:07:  	18:13:  	05:35:  	18:45:  
20201116	10-02	07:08:  	12:10:25	17:13:  	08:01:  	13:07:  	18:07:  	06:40:  	17:41:  	06:08:  	18:13:  	05:36:  	18:44:  
20201117	10-03	07:09:  	12:10:37	17:12:  	09:16:  	14:09:  	18:58:  	06:41:  	17:40:  	06:09:  	18:12:  	05:37:  	18:44:  
