20220123	12-21	07:27:  	12:28:06	17:30:  	22:43:  	04:09:  	10:30:  	06:58:  	17:58:  	06:27:  	18:30:  	05:56:  	19:01:  
20220124	12-22	07:26:  	12:28:21	17:31:  	23:48:  	04:54:  	10:56:  	06:58:  	17:59:  	06:26:  	18:31:  	05:55:  	19:02:  
20220125	12-23	07:25:  	12:28:35	17:32:  	--:--:  	05:40:  	11:23:  	06:57:  	18:00:  	06:26:  	18:32:  	05:55:  	19:03:  
20220126	12-24	07:25:  	12:28:48	17:33:  	00:55:  	06:28:  	11:53:  	06:57:  	18:01:  	06:25:  	18:33:  	05:54:  	19:04:  
20220127	12-25	07:24:  	12:29:01	17:34:  	02:06:  	07:21:  	12:28:  	06:56:  	18:02:  	06:25:  	18:34:  	05:54:  	19:05:  
20220128	12-26	07:23:  	12:29:13	17:36:  	03:19:  	08:18:  	13:11:  	06:56:  	18:03:  	06:24:  	18:35:  	05:53:  	19:06:  
20220129	12-27	07:23:  	12:29:24	17:37:  	04:33:  	09:19:  	14:03:  	06:55:  	18:04:  	06:23:  	18:36:  	05:53:  	19:07:  
20220130	12-28	07:22:  	12:29:35	17:38:  	05:42:  	10:24:  	15:06:  	06:54:  	18:05:  	06:23:  	18:37:  	05:52:  	19:08:  
20220131	12-29	07:21:  	12:29:44	17:39:  	06:44:  	11:29:  	16:17:  	06:53:  	18:06:  	06:22:  	18:38:  	05:51:  	19:09:  
20220201	01-01	07:20:  	12:29:53	17:40:  	07:35:  	12:30:  	17:32:  	06:53:  	18:08:  	06:21:  	18:39:  	05:51:  	19:10:  
20220202	01-02	07:19:  	12:30:01	17:41:  	08:17:  	13:27:  	18:46:  	06:52:  	18:09:  	06:21:  	18:40:  	05:50:  	19:11:  
20220203	01-03	07:19:  	12:30:08	17:42:  	08:51:  	14:20:  	19:57:  	06:51:  	18:10:  	06:20:  	18:41:  	05:49:  	19:11:  
20220204	01-04	07:18:  	12:30:14	17:43:  	09:21:  	15:08:  	21:04:  	06:50:  	18:11:  	06:19:  	18:42:  	05:48:  	19:12:  
20220205	01-05	07:17:  	12:30:19	17:44:  	09:47:  	15:53:  	22:08:  	06:49:  	18:12:  	06:18:  	18:43:  	05:48:  	19:13:  
20220206	01-06	07:16:  	12:30:24	17:45:  	10:13:  	16:37:  	23:10:  	06:49:  	18:13:  	06:17:  	18:44:  	05:47:  	19:14:  
20220207	01-07	07:15:  	12:30:28	17:47:  	10:38:  	17:20:  	--:--:  	06:48:  	18:14:  	06:17:  	18:45:  	05:46:  	19:15:  
20220208	01-08	07:14:  	12:30:31	17:48:  	11:05:  	18:03:  	00:11:  	06:47:  	18:15:  	06:16:  	18:46:  	05:45:  	19:16:  
20220209	01-09	07:13:  	12:30:33	17:49:  	11:34:  	18:48:  	01:11:  	06:46:  	18:16:  	06:15:  	18:47:  	05:44:  	19:17:  
20220210	01-10	07:12:  	12:30:34	17:50:  	12:07:  	19:35:  	02:11:  	06:45:  	18:17:  	06:14:  	18:48:  	05:43:  	19:18:  
20220211	01-11	07:11:  	12:30:35	17:51:  	12:46:  	20:24:  	03:10:  	06:44:  	18:18:  	06:13:  	18:49:  	05:42:  	19:19:  
20220212	01-12	07:10:  	12:30:35	17:52:  	13:30:  	21:15:  	04:07:  	06:43:  	18:19:  	06:12:  	18:50:  	05:42:  	19:20:  
20220213	01-13	07:08:  	12:30:34	17:53:  	14:21:  	22:06:  	05:00:  	06:42:  	18:20:  	06:11:  	18:51:  	05:41:  	19:21:  
20220214	01-14	07:07:  	12:30:32	17:54:  	15:18:  	22:57:  	05:47:  	06:41:  	18:21:  	06:10:  	18:52:  	05:40:  	19:22:  
20220215	01-15	07:06:  	12:30:29	17:55:  	16:19:  	23:47:  	06:29:  	06:39:  	18:22:  	06:09:  	18:53:  	05:38:  	19:23:  
20220216	01-16	07:05:  	12:30:26	17:56:  	17:23:  	--:--:  	07:06:  	06:38:  	18:23:  	06:08:  	18:54:  	05:37:  	19:24:  
20220217	01-17	07:04:  	12:30:22	17:57:  	18:27:  	00:35:  	07:38:  	06:37:  	18:24:  	06:07:  	18:55:  	05:36:  	19:25:  
20220218	01-18	07:03:  	12:30:18	17:58:  	19:31:  	01:22:  	08:07:  	06:36:  	18:25:  	06:06:  	18:56:  	05:35:  	19:26:  
20220219	01-19	07:01:  	12:30:12	17:59:  	20:36:  	02:07:  	08:33:  	06:35:  	18:26:  	06:04:  	18:57:  	05:34:  	19:27:  
20220220	01-20	07:00:  	12:30:06	18:01:  	21:41:  	02:52:  	08:59:  	06:34:  	18:27:  	06:03:  	18:58:  	05:33:  	19:28:  
20220221	01-21	06:59:  	12:30:00	18:02:  	22:48:  	03:38:  	09:26:  	06:32:  	18:28:  	06:02:  	18:59:  	05:32:  	19:29:  
20220222	01-22	06:58:  	12:29:52	18:03:  	23:57:  	04:26:  	09:55:  	06:31:  	18:29:  	06:01:  	19:00:  	05:31:  	19:30:  
20220223	01-23	06:56:  	12:29:45	18:04:  	--:--:  	05:16:  	10:28:  	06:30:  	18:30:  	06:00:  	19:00:  	05:29:  	19:31:  
20220224	01-24	06:55:  	12:29:36	18:05:  	01:09:  	06:11:  	11:07:  	06:29:  	18:31:  	05:58:  	19:01:  	05:28:  	19:32:  
20220225	01-25	06:54:  	12:29:27	18:06:  	02:20:  	07:09:  	11:55:  	06:27:  	18:32:  	05:57:  	19:02:  	05:27:  	19:33:  
20220226	01-26	06:52:  	12:29:18	18:07:  	03:30:  	08:11:  	12:52:  	06:26:  	18:33:  	05:56:  	19:03:  	05:26:  	19:34:  
20220227	01-27	06:51:  	12:29:07	18:08:  	04:32:  	09:14:  	13:58:  	06:25:  	18:34:  	05:55:  	19:04:  	05:24:  	19:35:  
20220228	01-28	06:50:  	12:28:57	18:09:  	05:26:  	10:15:  	15:09:  	06:24:  	18:35:  	05:53:  	19:05:  	05:23:  	19:36:  
20220301	01-29	06:48:  	12:28:46	18:10:  	06:10:  	11:13:  	16:23:  	06:22:  	18:36:  	05:52:  	19:06:  	05:22:  	19:37:  
20220302	01-30	06:47:  	12:28:34	18:11:  	06:47:  	12:07:  	17:34:  	06:21:  	18:37:  	05:51:  	19:07:  	05:20:  	19:38:  
20220303	02-01	06:46:  	12:28:22	18:12:  	07:18:  	12:56:  	18:43:  	06:19:  	18:38:  	05:49:  	19:08:  	05:19:  	19:38:  
20220304	02-02	06:44:  	12:28:09	18:13:  	07:46:  	13:43:  	19:49:  	06:18:  	18:39:  	05:48:  	19:09:  	05:18:  	19:39:  
20220305	02-03	06:43:  	12:27:56	18:14:  	08:12:  	14:28:  	20:53:  	06:17:  	18:40:  	05:46:  	19:10:  	05:16:  	19:40:  
20220306	02-04	06:41:  	12:27:43	18:15:  	08:37:  	15:12:  	21:56:  	06:15:  	18:41:  	05:45:  	19:11:  	05:15:  	19:41:  
20220307	02-05	06:40:  	12:27:29	18:16:  	09:04:  	15:56:  	22:58:  	06:14:  	18:42:  	05:44:  	19:12:  	05:13:  	19:42:  
20220308	02-06	06:39:  	12:27:14	18:17:  	09:32:  	16:41:  	23:59:  	06:12:  	18:43:  	05:42:  	19:13:  	05:12:  	19:43:  
20220309	02-07	06:37:  	12:27:00	18:17:  	10:04:  	17:28:  	--:--:  	06:11:  	18:44:  	05:41:  	19:14:  	05:10:  	19:44:  
20220310	02-08	06:36:  	12:26:44	18:18:  	10:40:  	18:16:  	00:59:  	06:10:  	18:45:  	05:39:  	19:15:  	05:09:  	19:45:  
