20220123	12-21	07:43:  	12:44:55	17:47:  	23:00:  	04:27:  	10:47:  	07:15:  	18:15:  	06:43:  	18:47:  	06:12:  	19:18:  
20220124	12-22	07:43:  	12:45:10	17:48:  	--:--:  	05:11:  	11:13:  	07:15:  	18:16:  	06:43:  	18:48:  	06:12:  	19:19:  
20220125	12-23	07:42:  	12:45:24	17:49:  	00:05:  	05:57:  	11:40:  	07:14:  	18:17:  	06:42:  	18:49:  	06:11:  	19:20:  
20220126	12-24	07:41:  	12:45:37	17:50:  	01:13:  	06:46:  	12:10:  	07:14:  	18:18:  	06:42:  	18:50:  	06:11:  	19:21:  
20220127	12-25	07:41:  	12:45:50	17:51:  	02:24:  	07:38:  	12:46:  	07:13:  	18:19:  	06:41:  	18:51:  	06:10:  	19:22:  
20220128	12-26	07:40:  	12:46:02	17:52:  	03:37:  	08:35:  	13:28:  	07:12:  	18:20:  	06:41:  	18:52:  	06:10:  	19:23:  
20220129	12-27	07:39:  	12:46:13	17:54:  	04:50:  	09:37:  	14:21:  	07:12:  	18:21:  	06:40:  	18:53:  	06:09:  	19:24:  
20220130	12-28	07:39:  	12:46:23	17:55:  	06:00:  	10:42:  	15:24:  	07:11:  	18:22:  	06:40:  	18:54:  	06:09:  	19:24:  
20220131	12-29	07:38:  	12:46:33	17:56:  	07:01:  	11:46:  	16:35:  	07:10:  	18:23:  	06:39:  	18:55:  	06:08:  	19:25:  
20220201	01-01	07:37:  	12:46:42	17:57:  	07:52:  	12:48:  	17:50:  	07:09:  	18:24:  	06:38:  	18:56:  	06:07:  	19:26:  
20220202	01-02	07:36:  	12:46:49	17:58:  	08:34:  	13:45:  	19:04:  	07:09:  	18:25:  	06:37:  	18:57:  	06:07:  	19:27:  
20220203	01-03	07:35:  	12:46:56	17:59:  	09:08:  	14:37:  	20:14:  	07:08:  	18:26:  	06:37:  	18:58:  	06:06:  	19:28:  
20220204	01-04	07:34:  	12:47:03	18:00:  	09:38:  	15:25:  	21:22:  	07:07:  	18:28:  	06:36:  	18:59:  	06:05:  	19:29:  
20220205	01-05	07:33:  	12:47:08	18:01:  	10:04:  	16:10:  	22:26:  	07:06:  	18:29:  	06:35:  	19:00:  	06:04:  	19:30:  
20220206	01-06	07:33:  	12:47:13	18:02:  	10:30:  	16:54:  	23:28:  	07:05:  	18:30:  	06:34:  	19:01:  	06:04:  	19:31:  
20220207	01-07	07:32:  	12:47:16	18:03:  	10:55:  	17:37:  	--:--:  	07:04:  	18:31:  	06:33:  	19:02:  	06:03:  	19:32:  
20220208	01-08	07:31:  	12:47:19	18:05:  	11:22:  	18:21:  	00:28:  	07:03:  	18:32:  	06:33:  	19:03:  	06:02:  	19:33:  
20220209	01-09	07:30:  	12:47:22	18:06:  	11:51:  	19:06:  	01:29:  	07:02:  	18:33:  	06:32:  	19:04:  	06:01:  	19:34:  
20220210	01-10	07:28:  	12:47:23	18:07:  	12:24:  	19:53:  	02:29:  	07:01:  	18:34:  	06:31:  	19:05:  	06:00:  	19:35:  
20220211	01-11	07:27:  	12:47:23	18:08:  	13:03:  	20:41:  	03:27:  	07:00:  	18:35:  	06:30:  	19:06:  	05:59:  	19:36:  
20220212	01-12	07:26:  	12:47:23	18:09:  	13:48:  	21:32:  	04:24:  	06:59:  	18:36:  	06:29:  	19:07:  	05:58:  	19:37:  
20220213	01-13	07:25:  	12:47:22	18:10:  	14:39:  	22:23:  	05:17:  	06:58:  	18:37:  	06:28:  	19:08:  	05:57:  	19:38:  
20220214	01-14	07:24:  	12:47:20	18:11:  	15:36:  	23:14:  	06:05:  	06:57:  	18:38:  	06:27:  	19:09:  	05:56:  	19:39:  
20220215	01-15	07:23:  	12:47:18	18:12:  	16:37:  	--:--:  	06:46:  	06:56:  	18:39:  	06:26:  	19:10:  	05:55:  	19:40:  
