20220123	12-21	07:35:  	12:45:34	17:56:  	23:01:  	04:27:  	10:46:  	07:09:  	18:23:  	06:39:  	18:53:  	06:09:  	19:22:  
20220124	12-22	07:35:  	12:45:49	17:57:  	--:--:  	05:12:  	11:15:  	07:08:  	18:24:  	06:38:  	18:54:  	06:09:  	19:23:  
20220125	12-23	07:34:  	12:46:04	17:58:  	00:03:  	05:58:  	11:45:  	07:08:  	18:24:  	06:38:  	18:55:  	06:08:  	19:24:  
20220126	12-24	07:34:  	12:46:17	17:59:  	01:08:  	06:46:  	12:17:  	07:08:  	18:25:  	06:38:  	18:55:  	06:08:  	19:25:  
20220127	12-25	07:33:  	12:46:30	18:00:  	02:16:  	07:39:  	12:55:  	07:07:  	18:26:  	06:37:  	18:56:  	06:08:  	19:26:  
20220128	12-26	07:33:  	12:46:42	18:01:  	03:27:  	08:36:  	13:40:  	07:07:  	18:27:  	06:37:  	18:57:  	06:07:  	19:27:  
20220129	12-27	07:32:  	12:46:53	18:02:  	04:38:  	09:38:  	14:35:  	07:06:  	18:28:  	06:36:  	18:58:  	06:07:  	19:27:  
20220130	12-28	07:32:  	12:47:03	18:03:  	05:47:  	10:42:  	15:38:  	07:05:  	18:29:  	06:36:  	18:59:  	06:06:  	19:28:  
20220131	12-29	07:31:  	12:47:13	18:04:  	06:49:  	11:47:  	16:48:  	07:05:  	18:30:  	06:35:  	19:00:  	06:06:  	19:29:  
20220201	01-01	07:30:  	12:47:21	18:05:  	07:42:  	12:49:  	18:00:  	07:04:  	18:31:  	06:34:  	19:01:  	06:05:  	19:30:  
20220202	01-02	07:30:  	12:47:29	18:06:  	08:26:  	13:46:  	19:12:  	07:04:  	18:32:  	06:34:  	19:02:  	06:05:  	19:31:  
20220203	01-03	07:29:  	12:47:36	18:07:  	09:03:  	14:38:  	20:20:  	07:03:  	18:33:  	06:33:  	19:02:  	06:04:  	19:32:  
20220204	01-04	07:28:  	12:47:43	18:08:  	09:35:  	15:26:  	21:24:  	07:02:  	18:34:  	06:33:  	19:03:  	06:03:  	19:32:  
20220205	01-05	07:27:  	12:47:48	18:09:  	10:05:  	16:11:  	22:26:  	07:01:  	18:35:  	06:32:  	19:04:  	06:03:  	19:33:  
20220206	01-06	07:27:  	12:47:53	18:10:  	10:32:  	16:55:  	23:25:  	07:01:  	18:35:  	06:31:  	19:05:  	06:02:  	19:34:  
20220207	01-07	07:26:  	12:47:56	18:11:  	11:00:  	17:38:  	--:--:  	07:00:  	18:36:  	06:30:  	19:06:  	06:01:  	19:35:  
20220208	01-08	07:25:  	12:47:59	18:11:  	11:29:  	18:21:  	00:23:  	06:59:  	18:37:  	06:30:  	19:07:  	06:01:  	19:36:  
20220209	01-09	07:24:  	12:48:01	18:12:  	12:00:  	19:06:  	01:21:  	06:58:  	18:38:  	06:29:  	19:08:  	06:00:  	19:37:  
20220210	01-10	07:23:  	12:48:03	18:13:  	12:36:  	19:53:  	02:19:  	06:57:  	18:39:  	06:28:  	19:08:  	05:59:  	19:37:  
20220211	01-11	07:22:  	12:48:03	18:14:  	13:16:  	20:42:  	03:16:  	06:57:  	18:40:  	06:27:  	19:09:  	05:58:  	19:38:  
20220212	01-12	07:21:  	12:48:03	18:15:  	14:01:  	21:33:  	04:12:  	06:56:  	18:41:  	06:26:  	19:10:  	05:57:  	19:39:  
20220213	01-13	07:20:  	12:48:02	18:16:  	14:53:  	22:24:  	05:04:  	06:55:  	18:42:  	06:26:  	19:11:  	05:57:  	19:40:  
20220214	01-14	07:19:  	12:48:00	18:17:  	15:49:  	23:15:  	05:53:  	06:54:  	18:43:  	06:25:  	19:12:  	05:56:  	19:41:  
20220215	01-15	07:18:  	12:47:58	18:18:  	16:48:  	--:--:  	06:36:  	06:53:  	18:43:  	06:24:  	19:13:  	05:55:  	19:42:  
20220216	01-16	07:17:  	12:47:55	18:19:  	17:49:  	00:05:  	07:14:  	06:52:  	18:44:  	06:23:  	19:13:  	05:54:  	19:42:  
20220217	01-17	07:16:  	12:47:51	18:20:  	18:51:  	00:53:  	07:49:  	06:51:  	18:45:  	06:22:  	19:14:  	05:53:  	19:43:  
20220218	01-18	07:15:  	12:47:46	18:21:  	19:53:  	01:40:  	08:20:  	06:50:  	18:46:  	06:21:  	19:15:  	05:52:  	19:44:  
20220219	01-19	07:14:  	12:47:41	18:22:  	20:55:  	02:25:  	08:49:  	06:49:  	18:47:  	06:20:  	19:16:  	05:51:  	19:45:  
20220220	01-20	07:13:  	12:47:35	18:22:  	21:57:  	03:10:  	09:18:  	06:48:  	18:48:  	06:19:  	19:17:  	05:50:  	19:46:  
20220221	01-21	07:12:  	12:47:28	18:23:  	23:02:  	03:56:  	09:47:  	06:47:  	18:49:  	06:18:  	19:18:  	05:49:  	19:46:  
20220222	01-22	07:11:  	12:47:21	18:24:  	--:--:  	04:44:  	10:19:  	06:46:  	18:49:  	06:17:  	19:18:  	05:48:  	19:47:  
20220223	01-23	07:10:  	12:47:13	18:25:  	00:08:  	05:35:  	10:54:  	06:45:  	18:50:  	06:16:  	19:19:  	05:47:  	19:48:  
20220224	01-24	07:09:  	12:47:05	18:26:  	01:17:  	06:29:  	11:36:  	06:44:  	18:51:  	06:15:  	19:20:  	05:46:  	19:49:  
20220225	01-25	07:08:  	12:46:56	18:27:  	02:27:  	07:28:  	12:25:  	06:42:  	18:52:  	06:14:  	19:21:  	05:45:  	19:50:  
20220226	01-26	07:06:  	12:46:46	18:28:  	03:34:  	08:29:  	13:23:  	06:41:  	18:53:  	06:12:  	19:22:  	05:44:  	19:50:  
20220227	01-27	07:05:  	12:46:36	18:28:  	04:37:  	09:32:  	14:29:  	06:40:  	18:54:  	06:11:  	19:22:  	05:43:  	19:51:  
20220228	01-28	07:04:  	12:46:25	18:29:  	05:32:  	10:33:  	15:39:  	06:39:  	18:54:  	06:10:  	19:23:  	05:41:  	19:52:  
20220301	01-29	07:03:  	12:46:14	18:30:  	06:18:  	11:31:  	16:50:  	06:38:  	18:55:  	06:09:  	19:24:  	05:40:  	19:53:  
20220302	01-30	07:02:  	12:46:02	18:31:  	06:58:  	12:25:  	17:59:  	06:37:  	18:56:  	06:08:  	19:25:  	05:39:  	19:54:  
20220303	02-01	07:00:  	12:45:50	18:32:  	07:31:  	13:14:  	19:05:  	06:35:  	18:57:  	06:07:  	19:26:  	05:38:  	19:54:  
20220304	02-02	06:59:  	12:45:38	18:33:  	08:02:  	14:01:  	20:08:  	06:34:  	18:58:  	06:05:  	19:26:  	05:37:  	19:55:  
20220305	02-03	06:58:  	12:45:24	18:33:  	08:30:  	14:46:  	21:10:  	06:33:  	18:58:  	06:04:  	19:27:  	05:35:  	19:56:  
20220306	02-04	06:57:  	12:45:11	18:34:  	08:58:  	15:30:  	22:10:  	06:32:  	18:59:  	06:03:  	19:28:  	05:34:  	19:57:  
20220307	02-05	06:55:  	12:44:57	18:35:  	09:27:  	16:14:  	23:09:  	06:31:  	19:00:  	06:02:  	19:29:  	05:33:  	19:58:  
20220308	02-06	06:54:  	12:44:43	18:36:  	09:58:  	16:59:  	--:--:  	06:29:  	19:01:  	06:00:  	19:30:  	05:32:  	19:58:  
20220309	02-07	06:53:  	12:44:28	18:37:  	10:32:  	17:46:  	00:08:  	06:28:  	19:01:  	05:59:  	19:30:  	05:30:  	19:59:  
20220310	02-08	06:52:  	12:44:13	18:37:  	11:10:  	18:34:  	01:06:  	06:27:  	19:02:  	05:58:  	19:31:  	05:29:  	20:00:  
20220311	02-09	06:50:  	12:43:57	18:38:  	11:53:  	19:24:  	02:03:  	06:25:  	19:03:  	05:57:  	19:32:  	05:28:  	20:01:  
20220312	02-10	06:49:  	12:43:41	18:39:  	12:42:  	20:15:  	02:57:  	06:24:  	19:04:  	05:55:  	19:33:  	05:26:  	20:02:  
20220313	02-11	06:48:  	12:43:25	18:40:  	13:37:  	21:06:  	03:46:  	06:23:  	19:05:  	05:54:  	19:33:  	05:25:  	20:02:  
20220314	02-12	06:46:  	12:43:09	18:41:  	14:35:  	21:56:  	04:31:  	06:22:  	19:05:  	05:53:  	19:34:  	05:24:  	20:03:  
20220315	02-13	06:45:  	12:42:52	18:41:  	15:35:  	22:45:  	05:11:  	06:20:  	19:06:  	05:51:  	19:35:  	05:22:  	20:04:  
20220316	02-14	06:44:  	12:42:35	18:42:  	16:37:  	23:33:  	05:47:  	06:19:  	19:07:  	05:50:  	19:36:  	05:21:  	20:05:  
20220317	02-15	06:42:  	12:42:18	18:43:  	17:40:  	--:--:  	06:19:  	06:18:  	19:08:  	05:49:  	19:37:  	05:20:  	20:06:  
20220318	02-16	06:41:  	12:42:01	18:44:  	18:43:  	00:19:  	06:50:  	06:16:  	19:08:  	05:47:  	19:37:  	05:18:  	20:06:  
20220319	02-17	06:40:  	12:41:43	18:44:  	19:46:  	01:05:  	07:19:  	06:15:  	19:09:  	05:46:  	19:38:  	05:17:  	20:07:  
20220320	02-18	06:38:  	12:41:25	18:45:  	20:52:  	01:52:  	07:48:  	06:14:  	19:10:  	05:45:  	19:39:  	05:15:  	20:08:  
20220321	02-19	06:37:  	12:41:08	18:46:  	21:59:  	02:40:  	08:20:  	06:12:  	19:11:  	05:43:  	19:40:  	05:14:  	20:09:  
20220322	02-20	06:36:  	12:40:50	18:47:  	23:09:  	03:30:  	08:54:  	06:11:  	19:11:  	05:42:  	19:40:  	05:13:  	20:10:  
20220323	02-21	06:34:  	12:40:32	18:47:  	--:--:  	04:25:  	09:34:  	06:09:  	19:12:  	05:40:  	19:41:  	05:11:  	20:11:  
20220324	02-22	06:33:  	12:40:14	18:48:  	00:19:  	05:22:  	10:22:  	06:08:  	19:13:  	05:39:  	19:42:  	05:10:  	20:11:  
20220325	02-23	06:32:  	12:39:56	18:49:  	01:28:  	06:23:  	11:17:  	06:07:  	19:14:  	05:38:  	19:43:  	05:08:  	20:12:  
20220326	02-24	06:30:  	12:39:38	18:50:  	02:32:  	07:25:  	12:19:  	06:05:  	19:14:  	05:36:  	19:44:  	05:07:  	20:13:  
20220327	02-25	06:29:  	12:39:20	18:50:  	03:28:  	08:26:  	13:27:  	06:04:  	19:15:  	05:35:  	19:44:  	05:05:  	20:14:  
20220328	02-26	06:28:  	12:39:01	18:51:  	04:16:  	09:23:  	14:36:  	06:03:  	19:16:  	05:33:  	19:45:  	05:04:  	20:15:  
20220329	02-27	06:26:  	12:38:43	18:52:  	04:56:  	10:17:  	15:44:  	06:01:  	19:17:  	05:32:  	19:46:  	05:02:  	20:16:  
20220330	02-28	06:25:  	12:38:26	18:53:  	05:31:  	11:07:  	16:50:  	06:00:  	19:18:  	05:31:  	19:47:  	05:01:  	20:17:  
20220331	02-29	06:24:  	12:38:08	18:53:  	06:01:  	11:53:  	17:53:  	05:59:  	19:18:  	05:29:  	19:48:  	04:59:  	20:18:  
20220401	03-01	06:22:  	12:37:50	18:54:  	06:30:  	12:38:  	18:55:  	05:57:  	19:19:  	05:28:  	19:48:  	04:58:  	20:18:  
20220402	03-02	06:21:  	12:37:32	18:55:  	06:58:  	13:22:  	19:55:  	05:56:  	19:20:  	05:26:  	19:49:  	04:56:  	20:19:  
20220403	03-03	06:20:  	12:37:15	18:55:  	07:26:  	14:06:  	20:55:  	05:55:  	19:21:  	05:25:  	19:50:  	04:55:  	20:20:  
20220404	03-04	06:18:  	12:36:57	18:56:  	07:56:  	14:51:  	21:55:  	05:53:  	19:21:  	05:24:  	19:51:  	04:54:  	20:21:  
20220405	03-05	06:17:  	12:36:40	18:57:  	08:28:  	15:38:  	22:54:  	05:52:  	19:22:  	05:22:  	19:52:  	04:52:  	20:22:  
20220406	03-06	06:16:  	12:36:23	18:58:  	09:05:  	16:26:  	23:52:  	05:50:  	19:23:  	05:21:  	19:53:  	04:51:  	20:23:  
20220407	03-07	06:14:  	12:36:06	18:58:  	09:46:  	17:16:  	--:--:  	05:49:  	19:24:  	05:19:  	19:53:  	04:49:  	20:24:  
20220408	03-08	06:13:  	12:35:49	18:59:  	10:33:  	18:06:  	00:48:  	05:48:  	19:24:  	05:18:  	19:54:  	04:48:  	20:25:  
20220409	03-09	06:12:  	12:35:33	19:00:  	11:25:  	18:57:  	01:39:  	05:46:  	19:25:  	05:17:  	19:55:  	04:46:  	20:26:  
20220410	03-10	06:10:  	12:35:17	19:01:  	12:21:  	19:47:  	02:26:  	05:45:  	19:26:  	05:15:  	19:56:  	04:45:  	20:27:  
20220411	03-11	06:09:  	12:35:01	19:01:  	13:20:  	20:36:  	03:08:  	05:44:  	19:27:  	05:14:  	19:57:  	04:43:  	20:28:  
20220412	03-12	06:08:  	12:34:45	19:02:  	14:21:  	21:23:  	03:44:  	05:43:  	19:28:  	05:13:  	19:58:  	04:42:  	20:29:  
